Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
102-8-256-2,102-8-257-2,B,if-else/switch,2,8,1,2,0,1,1,0,0,0,0,[258]
102-8-257-2,102-8-258-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-8-257-2,102-8-258-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-8-256-2,102-8-259-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-8-256-2,102-8-259-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-8-256-2,102-8-259-3,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
102-8-256-2,102-8-259-4,B,if,1,13,1,0,0,0,0,0,0,0,0,[260]
102-8-259-4,102-8-260-1,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-0-0-0,102-9-0-0,F,CreateFunction,25,189,1,47,7,33,14,0,5,2,7,[262]
102-9-0-0,102-9-262-1,D,Assignment,4,2,0,4,0,3,1,0,0,0,0,[]
102-9-0-0,102-9-262-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-3,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
102-9-0-0,102-9-262-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-7,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-8,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-11,D,Assignment,1,5,0,9,1,9,0,0,1,0,1,[]
102-9-0-0,102-9-262-12,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-0-0,102-9-262-13,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-9-0-0,102-9-262-14,B,if,0,6,0,0,0,0,0,0,0,0,0,[]
102-9-0-0,102-9-262-15,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-9-0-0,102-9-262-16,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-9-0-0,102-9-262-17,B,if-else/switch,3,17,2,0,0,0,0,0,0,0,0,"[263, 264]"
102-9-262-17,102-9-263-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-9-262-17,102-9-263-2,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
102-9-262-17,102-9-264-1,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
102-9-0-0,102-9-262-18,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-9-0-0,102-9-262-19,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
102-9-0-0,102-9-262-20,D,Assignment,1,7,0,8,1,8,0,0,1,0,1,[]
102-9-0-0,102-9-262-21,B,if-else/switch,2,26,1,3,1,3,0,0,1,0,1,[265]
102-9-262-21,102-9-265-1,D,Assignment,1,2,0,3,1,3,0,0,1,0,1,[]
102-9-262-21,102-9-265-2,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
102-9-0-0,102-9-262-22,D,Assignment,1,1,0,2,1,2,0,0,1,0,1,[]
102-9-0-0,102-9-262-23,D,Assignment,1,2,0,5,1,5,0,0,1,0,1,[]
102-9-0-0,102-9-262-24,B,if,1,9,1,0,0,0,0,0,0,0,0,[266]
102-9-262-24,102-9-266-1,B,if-else/switch,0,5,0,0,0,0,0,0,0,0,0,[]
102-9-0-0,102-9-262-25,B,if-else/switch,1,11,1,0,0,0,0,0,0,0,0,[267]
102-9-262-25,102-9-267-1,B,if-else/switch,0,4,0,0,0,0,0,0,0,0,0,[]
102-0-0-0,102-10-0-0,F,RemoveFunction,14,59,1,17,5,8,9,0,0,5,5,[269]
102-10-0-0,102-10-269-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-10-0-0,102-10-269-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-10-0-0,102-10-269-3,D,Assignment,2,1,0,4,1,3,1,0,0,1,1,[]
102-10-0-0,102-10-269-4,B,if,1,9,1,1,1,0,1,0,0,1,1,[270]
102-10-269-4,102-10-270-1,D,Assignment,2,4,0,1,1,0,1,0,0,1,1,[]
102-10-0-0,102-10-269-5,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-10-0-0,102-10-269-6,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-10-0-0,102-10-269-7,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
102-10-0-0,102-10-269-8,B,if,0,6,0,0,0,0,0,0,0,0,0,[]
102-10-0-0,102-10-269-9,B,if,1,8,1,1,0,0,1,0,0,0,0,[271]
102-10-269-9,102-10-271-1,D,Assignment,1,4,0,1,0,0,1,0,0,0,0,[]
102-10-0-0,102-10-269-10,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
102-10-0-0,102-10-269-11,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-10-0-0,102-10-269-12,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-10-0-0,102-10-269-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-10-0-0,102-10-269-14,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-0-0-0,102-11-0-0,F,RemoveFunctionById,7,42,1,10,8,5,5,0,0,8,8,[273]
102-11-0-0,102-11-273-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
102-11-0-0,102-11-273-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-11-0-0,102-11-273-3,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-11-0-0,102-11-273-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-11-0-0,102-11-273-5,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-11-0-0,102-11-273-6,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
102-11-0-0,102-11-273-7,B,if,5,16,1,4,4,2,2,0,0,4,4,[274]
102-11-273-7,102-11-274-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
102-11-273-7,102-11-274-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
102-11-273-7,102-11-274-3,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-11-273-7,102-11-274-4,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
102-11-273-7,102-11-274-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
